Event_Id,Investigation_Type,Accident_Number,Event_Date,Location,Country,Airport_Name,Injury_Severity,Aircraft_Damage,Registration_Number,Make,Model,Number_Of_Engines,Engine_Type,Purpose_Of_Flight,Total_Fatal_Injuries,Total_Serious_Injuries,Total_Minor_Injuries,Total_Uninjured,Weather_Condition,Broad_Phase_Of_Flight,Publication_Date,Total_Passengers,Fatal_Injury_Number,Uninjured_Number
20001212X22506,Accident,ATL90LA062,1990-02-11,"ATMORE, AL",United States,ATMORE MUNI,Non-Fatal,Substantial,N90093,Cessna,120,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,Takeoff,30-09-1991,2.0,0.0,0.0
20001212X22607,Incident,MIA90IA070,1990-02-12,"SARASOTA, FL",United States,,Incident,Minor,N8889Z,Boeing,727-225A,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,150.0,VMC,Cruise,30-12-1992,150.0,0.0,1.0
20001212X22527,Accident,CHI90LA079,1990-02-12,"RALEIGH, IL",United States,,Non-Fatal,Substantial,N35100,Cessna,177B,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Cruise,04-09-1992,3.0,0.0,1.0
20001212X22526,Accident,CHI90LA078,1990-02-12,"ELKHART, IN",United States,,Non-Fatal,Substantial,N4931M,Cessna,152,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,04-09-1992,1.0,0.0,1.0
20001212X22550,Accident,DEN90LA056,1990-02-12,"ENGLEWOOD, CO",United States,CENTENNIAL,Non-Fatal,Substantial,N409EX,Cessna,404,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Takeoff,10-09-1992,1.0,0.0,1.0
20001212X22569,Accident,FTW90LA070,1990-02-13,"ARLINGTON, TX",United States,,Non-Fatal,Destroyed,N21969,Cessna,150L,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,Maneuvering,15-12-1992,2.0,0.0,0.0
20001212X22514,Accident,BFO90FA025,1990-02-13,"ARDEN, NC",United States,,Fatal(1),Destroyed,N8615S,Cessna,150F,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Approach,08-12-1992,1.0,1.0,0.0
20001212X22632,Incident,SEA90IA042,1990-02-14,"EVERETT, WA",United States,PAINE FLD,Incident,Minor,NONE,Boeing,747-446B,4.0,Turbo Fan,Unknown,0.0,0.0,0.0,7.0,VMC,Landing,30-12-1992,7.0,0.0,1.0
20001212X22590,Accident,LAX90LA090,1990-02-15,"RED BLUFF, CA",United States,RED BLUFF,Non-Fatal,Substantial,N9164T,Cessna,180,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,28-09-1992,1.0,0.0,1.0
20001212X22502,Accident,ANC90LA033,1990-02-15,"FAIRBANKS, AK",United States,,Non-Fatal,Substantial,N4305L,Cessna,172,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,30-09-1991,1.0,0.0,1.0
20001212X22530,Accident,CHI90LA082,1990-02-15,"WHEELING, IL",United States,PALWAUKEE,Non-Fatal,Substantial,N6186X,Cessna,T310R,2.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,VMC,Landing,04-09-1992,1.0,0.0,1.0
20001212X22593,Accident,LAX90LA096,1990-02-16,"INYOKERN, CA",United States,INYOKERN,Non-Fatal,Substantial,N9843J,Cessna,A150M,1.0,Reciprocating,Instructional,0.0,1.0,0.0,0.0,VMC,Approach,02-10-1992,1.0,0.0,0.0
20001212X22551,Accident,DEN90LA057,1990-02-16,"BOULDER, CO",United States,BOULDER,Non-Fatal,Substantial,N25197,Cessna,152,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Landing,15-12-1992,1.0,0.0,1.0
20001212X22515,Incident,BFO90IA028,1990-02-17,"WASHINGTON, DC",United States,DULLES INTL.,Incident,Minor,N902TS,Boeing,B-727-29,3.0,Turbo Jet,Unknown,0.0,0.0,0.0,86.0,VMC,Approach,30-12-1992,86.0,0.0,1.0
20001212X22594,Accident,LAX90LA097,1990-02-18,"SANTA YSABEL, CA",United States,,Non-Fatal,Destroyed,N1510M,Cessna,182P,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,IMC,Cruise,14-12-1992,2.0,0.0,0.0
20001212X22585,Incident,LAX90IA101,1990-02-18,"LOS ANGELES, CA",United States,LAS ANGELES,Incident,Minor,N31013,Lockheed,L-1011-385-1,3.0,Turbo Fan,Unknown,0.0,0.0,1.0,192.0,VMC,Takeoff,30-12-1992,193.0,0.0,0.9948186528497409
20001212X22582,Accident,LAX90FA093,1990-02-18,"MODESTO, CA",United States,,Fatal(1),Destroyed,CGICH,Cessna,210L,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Cruise,02-06-1992,1.0,1.0,0.0
20001212X22626,Accident,NYC90LA071,1990-02-18,"HARFORD, PA",United States,,Non-Fatal,Substantial,N45371,Cessna,177RG,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,10-09-1992,1.0,0.0,1.0
20001212X22617,Accident,MKC90LA055,1990-02-18,"COLUMBIA, MO",United States,COLUMBIA REGIONAL,Non-Fatal,Substantial,N6377B,Cessna,152,1.0,Reciprocating,Personal,0.0,0.0,1.0,1.0,VMC,Taxi,28-06-1991,2.0,0.0,0.5
